Name,Normal Price (USD),Discounted Price (USD),Discount percentage (%),Rating (out of 5 stars),Review Count,Url
Wireless Headphones TWS Bluetooth Earphones Touch Control Sport Headset Stereo Earbuds for iOS Android Electronics Devices.,29.89,29.89,0,4.1,10,https://www.amazon.com/Wireless-Headphones-Bluetooth-Earphones-Electronics/dp/B010NJGPJC/ref=sr_1_15?keywords=tws&qid=1656433430&s=aht&sr=1-15
Skullcandy Sesh Evo True Wireless In-Ear Earbud - True Black,49.99,29.99,40.0,4.2,40975,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_1?ie=UTF8&adId=A0540399Z5TAH71BFB09&url=%2FSkullcandy-Sesh-True-Wireless-Earbud%2Fdp%2FB0857JLRFJ%2Fref%3Dsr_1_16_sspa%3Fkeywords%3Dtws%26qid%3D1656433430%26s%3Daht%26sr%3D1-16-spons%26psc%3D1&qualifier=1656433430&id=5886059493908647&widgetName=sp_mtf
"Motast Wireless Earbuds, Bluetooth 5.1 Earbuds 140H Playtime, Bluetooth Headphones HD Stereo Noise Cancelling Wireless Earphones in Ear with Mic, USB-C Charging Case, IP7 Waterproof Headset for Sports",35.99,35.99,0,4.3,15313,https://www.amazon.com/Bluetooth-Headphones-Cancelling-Earphones-Waterproof/dp/B083M7B6CJ/ref=sr_1_17?keywords=tws&qid=1656433430&s=aht&sr=1-17
"Soundcore by Anker Liberty 3 Pro Noise Cancelling Earbuds, True Wireless Earbuds with ACAA 2.0, HearID ANC, Fusion Comfort, Hi-Res Audio Wireless, 6 Mics for Calls, 32H Playtime",164.99,164.99,0,4.3,3719,https://www.amazon.com/Soundcore-Liberty-Cancelling-Wireless-Playtime/dp/B09CGM1BWH/ref=sr_1_18?keywords=tws&qid=1656433430&s=aht&sr=1-18
Momentum M2 Iebt Black Wireless Neckband,279.95,279.95,0,4.0,297,https://www.amazon.com/Sennheiser-M2-IEBT-Momentum-Wireless/dp/B06XRXHKL3/ref=sr_1_19?keywords=tws&qid=1656433430&s=aht&sr=1-19
"JLab Go Air Pop True Wireless Bluetooth Earbuds + Charging Case | Rose | Dual Connect | IPX4 Sweat Resistance | Bluetooth 5.1 Connection | 3 EQ Sound Settings: JLab Signature, Balanced, Bass Boost",19.88,19.88,0,4.5,6237,https://www.amazon.com/JLab-Wireless-Bluetooth-Resistance-Connection/dp/B09HN46PXL/ref=sr_1_20?keywords=tws&qid=1656433430&s=aht&sr=1-20
Skullcandy Jib True Wireless in-Ear Earbuds - Golden Age Red,31.99,31.99,0,4.3,1586,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics_sr_pg1_1?ie=UTF8&adId=A03403022LZ84HB2JR9RO&url=%2FSkullcandy-True-Wireless-Ear-Earbud%2Fdp%2FB08VSD1D45%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dtws%26qid%3D1656433430%26s%3Daht%26sr%3D1-21-spons%26psc%3D1&qualifier=1656433430&id=5886059493908647&widgetName=sp_btf
"Black Shark Bluetooth Earbuds Wireless Earbuds with 45ms Ultra-Low Latency, Gaming Earbuds with Bluetooth 5.2, Dual Modes, 10mm Driver, 35H Play Time, IPX4 Waterproof, Built-in Mic - Lucifer T1",29.99,25.49,15.0,4.3,3251,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics_sr_pg1_1?ie=UTF8&adId=A003550317UI2GFQC8IJ4&url=%2FBlack-Shark-Bluetooth-Ultra-Low-Waterproof%2Fdp%2FB09BN9WBTQ%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dtws%26qid%3D1656433430%26s%3Daht%26sr%3D1-22-spons%26psc%3D1&qualifier=1656433430&id=5886059493908647&widgetName=sp_btf
Wireless Earbuds Bluetooth，WERDEDE 180 Hours Playtime Built-in Microphone LED Digital Shows Charging Bluetooth Headphones，IPX7 Waterproof Touch Control Stereo Cordless Earphones for iPhone/Android,34.99,34.99,0,3.8,134,https://www.amazon.com/Bluetooth%EF%BC%8CWERDEDE-Microphone-Bluetooth-Headphones%EF%BC%8CIPX7-Waterproof/dp/B09KQD8R4N/ref=sr_1_23?keywords=tws&qid=1656433430&s=aht&sr=1-23
"UGREEN HiTune Wireless Earbuds Bluetooth 5.0, Wireless Headphones with Built-in Mic, CVC 8.0 Clear Call Bluetooth Earbuds, Aptx HiFi Stereo Wireless Earphones with Deep Bass, 2 EQ Modes, 27H Playtime",29.99,29.99,0,4.3,12669,https://www.amazon.com/UGREEN-Microphone-Headphones-Cancelling-Waterproof/dp/B0851C5KLV/ref=sr_1_24?keywords=tws&qid=1656433430&s=aht&sr=1-24
"Bluetooth Earbuds, StageSound Wireless Earbuds with Extra Deep Bass, 13mm Drivers, 60ms Low Latency Gaming Mode, Touch Control, 40Hrs Playtime, Auto Paring, TWS Stereo Earphones for Gaming, Sport",39.99,39.99,0,4.0,128,https://www.amazon.com/Bluetooth-StageSound-Wireless-Playtime-Headphones/dp/B097L5S9XQ/ref=sr_1_25?keywords=tws&qid=1656433430&s=aht&sr=1-25
